구명,읍면동명,선거인수,투표수,유효득표수,1위정당,1위후보,1위득표수,1위득표율,무효투표수,기권자수,더불어민주당_정원오_득표수,국민의힘_오세훈_득표수,개혁신당_김정철_득표수,여성의당_유지혜_득표수,정의당_권영국_득표수
강남구,역삼2동,27597,16022,15904,국민의힘,오세훈,10429,65.5747,118,11575,5108,10429,133,112,122
강남구,도곡1동,16238,10559,10485,국민의힘,오세훈,6998,66.743,74,5679,3225,6998,93,89,80
강남구,도곡2동,23819,14856,14779,국민의힘,오세훈,11686,79.0717,77,8963,2823,11686,106,92,72
강남구,개포1동,20616,14035,13962,국민의힘,오세훈,9867,70.6704,73,6581,3853,9867,104,69,69
강남구,개포2동,28062,18105,18018,국민의힘,오세훈,12755,70.7903,87,9957,4931,12755,147,81,104
강남구,개포3동,12760,8659,8565,국민의힘,오세훈,5429,63.3859,94,4101,2974,5429,72,38,52
강남구,개포4동,18661,11359,11276,국민의힘,오세훈,6822,60.5002,83,7302,4226,6822,87,75,66
강남구,일원본동,17046,11571,11488,국민의힘,오세훈,7310,63.6316,83,5475,3933,7310,97,62,86
강남구,일원1동,11587,6946,6828,국민의힘,오세훈,3899,57.1031,118,4641,2760,3899,63,52,54
강남구,수서동,12028,8060,7945,국민의힘,오세훈,4732,59.5595,115,3968,3077,4732,55,41,40
강남구,세곡동,35124,22240,22044,국민의힘,오세훈,11723,53.18,196,12884,9803,11723,188,162,168
송파구,풍납1동,9510,5956,5888,국민의힘,오세훈,2938,49.8981,68,3554,2831,2938,36,41,42
송파구,풍납2동,18706,11965,11857,국민의힘,오세훈,6358,53.6223,108,6741,5217,6358,104,80,98
송파구,거여1동,9896,6066,5985,국민의힘,오세훈,3048,50.9273,81,3830,2821,3048,36,37,43
송파구,거여2동,18471,12161,11969,국민의힘,오세훈,6255,52.26,192,6310,5461,6255,90,75,88
송파구,마천1동,12784,7726,7607,더불어민주당,정원오,3792,49.8488,119,5058,3792,3664,44,47,60
송파구,마천2동,15273,9221,9079,더불어민주당,정원오,4612,50.7985,142,6052,4612,4311,68,37,51
송파구,방이1동,12181,7954,7861,국민의힘,오세훈,4239,53.9244,93,4227,3451,4239,60,58,53
송파구,방이2동,22466,12329,12207,국민의힘,오세훈,6381,52.2733,122,10137,5506,6381,111,95,114
